movieNm,salesAcc,audiAcc,scrnCnt,showCnt,hasOriginal
실미도,10858321500,1708985,348,11826,0
반지의 제왕 : 왕의 귀환,4297594000,691077,120,2464,1
라스트 사무라이,1901421500,298634,129,3056,0
동해물과 백두산이,1041198500,163084,36,1260,0
러브 액츄얼리,1891134108,276343,123,1516,0
더 캣,185512000,30403,12,346,0
올드보이,1897548500,294319,5,119,1
해피 에로 크리스마스,459220000,71441,6,51,0
말죽거리 잔혹사,3834994000,604625,177,5487,0
내사랑 싸가지,1828895000,294918,82,2879,0
피터 팬,831929500,138547,59,1521,0
빙우,322899500,49463,34,828,0
브라더 베어,104735000,15887,18,240,0
페이첵,832432500,130266,61,1673,1
안녕! 유에프오,246417500,39682,31,796,0
그녀를 모르면 간첩,146877500,23907,16,476,0
런어웨이,92187500,14532,11,199,0
태극기 휘날리며,15680941000,2542870,746,22242,0
베이직,74411000,11597,23,489,0
사랑할 때 버려야 할 아까운 것들,790557000,121364,58,1378,0
열두명의 웬수들 ,80004000,12618,24,408,0
자토이치,144138000,22338,6,99,0
목포는 항구다,2662114000,423833,157,6137,0
그녀를 믿지 마세요,1791543000,287380,114,4204,0
콜드 마운틴,308899500,48670,44,877,0
사랑도 통역이 되나요?,163676000,25153,29,676,0
스파이 키드 3D,34331500,5663,3,50,0
타임라인,90901500,14412,20,383,0
스쿨 오브 락,135408000,21585,37,591,0
8명의 여인들,45975500,7205,10,157,1
사마리아,264384000,41580,46,1424,0
빅 피쉬,435353000,66031,41,1052,0
휴먼 스테인,76406500,11901,14,298,0
어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,1141231000,178900,103,3464,0
어깨동무,722932000,114906,77,2651,0
헌티드,155582000,24440,30,837,0
모나리자 스마일,224228000,34941,36,987,0
히달고,178098000,27991,30,786,0
맹부삼천지교,1346611000,216251,135,4400,0
아홉살 인생,492547000,79738,78,2132,1
허니 ,99903000,15229,13,354,1
패션 오브 크라이스트,5300866500,835216,307,9513,0
어린 신부,6233979000,990624,384,12796,0
마지막 늑대,272413500,42850,52,1330,0
폴리와 함께,177086000,26728,49,877,0
고티카,136434500,21018,31,666,0
바람의 전설,611858000,94096,102,2701,1
저지 걸,551868000,86084,83,2406,0
범죄의 재구성,6111808000,938870,345,11223,0
첫키스만 50번째,1190170000,181188,130,4037,0
무간도3 - 종극무간,250262500,36852,24,853,0
테이킹 라이브즈,217911000,33774,37,1264,1
라이어,651215500,99603,101,2599,0
아라한 장풍대작전,5197419000,808765,404,12495,0
인 더 컷,106105500,15996,24,389,1
스타스키와 허치,72874000,10954,28,592,0
더티 댄싱 - 하바나 나이트,153958000,23872,22,541,0
효자동 이발사,4824704900,743496,341,10384,0
여자는 남자의 미래다,763024500,114312,98,3251,0
스쿠비-두2 : 몬스터 대소동,115126000,18362,10,283,0
천공의 성 라퓨타,95991000,15432,10,225,0
킬 빌2,920422500,138008,141,2952,0
새벽의 저주,668887500,102386,75,2143,0
트로이,12606074500,1974402,850,20537,0
하류인생,1432800500,218853,194,5394,0
옹박 - 무에타이의 후예,895381800,139813,137,4231,0
디 아이2,958240500,149566,155,4324,0
내 여자친구를 소개합니다,8316311500,1296554,637,19228,0
투모로우,11585040500,1817828,761,22635,0
